player,게임수,평균득점,필드골,3점,자유투,리바운드,어시스트,스틸,블록,턴오버,파울,효율성
김진영,44,4,1.3,0.4,0.3,1.5,1.2,0.8,0.2,1,1.3,5.9
김진용,8,1.5,0.8,0,0,1.4,0.5,0.1,0,0.4,0.8,3
김진유,158,2.2,0.6,0.3,0.2,1.4,0.9,0.5,0.1,0.5,1.6,4.1
김철욱,183,2.3,0.7,0.2,0.3,1.2,0.2,0.1,0.1,0.3,1.2,3.5
김태완,2,3,0,1,0,0.5,4.5,1.5,0,0,4,8
김한영,0,0,0,0,0,0,0,0,0,0,0,0
김현민,331,4.7,1.8,0.2,0.7,2.8,0.5,0.4,0.3,0.7,2.1,7.6
김현수,325,5.1,1,0.8,0.6,1.1,1.1,0.5,0,0.7,1.4,6.6
김현호,226,4.2,0.9,0.6,0.5,1.6,1.6,0.5,0.1,1,1.9,6.5
김형빈,20,1.8,0.6,0.1,0.1,1.9,0.3,0.3,0.1,0.3,1.6,3.8
김형빈,20,1.8,0.6,0.1,0.1,1.9,0.3,0.3,0.1,0.3,1.6,3.8
두경민,309,12.2,2.3,2.1,1.3,2.2,3.3,1.2,0,2,2,15.7
렌즈 아반도,4,3,1,0.3,0.3,1.8,0.5,0.3,0.8,0.8,1,5.3
론제이 아바리엔토스,7,14,2.1,3,0.7,3.6,5.4,1.6,0,1.6,1.9,21.4
론제이 아바리엔토스,7,14,2.1,3,0.7,3.6,5.4,1.6,0,1.6,1.9,21.4
문가온,0,0,0,0,0,0,0,0,0,0,0,0
문성곤,251,5.9,1.1,1.1,0.4,4.2,1.4,1.5,0.4,0.7,2.5,11.2
문시윤,11,1,0.5,0,0.1,0.9,0.1,0,0,0.1,0.4,1.9
박경상,327,5.5,0.8,1,1,1.8,1.8,0.6,0,1.3,1.7,7.8
박민채,0,0,0,0,0,0,0,0,0,0,0,0
박봉진,81,0.7,0.1,0.1,0.2,0.9,0.3,0.1,0,0.2,1.4,1.7
박상권,8,1.3,0.3,0.3,0,0.1,0,0,0,0.3,1.1,1.1
박상권,8,1.3,0.3,0.3,0,0.1,0,0,0,0.3,1.1,1.1
박세진,35,2.6,1.1,0,0.3,1.9,0.2,0.2,0.1,0.2,1.3,4.6
박인웅,10,3.1,0.5,0.4,0.9,2.1,0.7,0.1,0,0.4,1.1,5.5
박인태,172,3,1.2,0.1,0.3,2.3,0.5,0.2,0.3,0.4,1.4,5.7
박재한,67,1.3,0.2,0.3,0.2,0.8,0.9,0.3,0,0.5,1.2,2.5
박재현,219,4,0.9,0.5,0.5,1.1,1.5,0.5,0,0.9,2,5.7
박준형,0,0,0,0,0,0,0,0,0,0,0,0
박지원,77,4.4,1.4,0.2,0.8,2.1,1.9,0.7,0.2,0.8,1.8,7.8
박지훈,223,6,1.9,0.6,0.5,2,2.6,1,0.1,1.1,2,9.6
박지훈,309,4,1,0.5,0.3,1.8,0.8,0.4,0.1,0.5,1.7,6.2
박진철,41,1.7,0.7,0,0.3,1.7,0.2,0.3,0.3,0.2,1.4,3.7
박찬희,482,7.1,2.3,0.5,1,2.8,4.4,1.3,0.1,1.6,1.9,12.8
배병준,191,3.1,0.5,0.6,0.4,1,0.5,0.3,0,0.3,0.8,4.3
백지웅,0,0,0,0,0,0,0,0,0,0,0,0
변준형,172,10.3,2.5,1.3,1.5,2.2,3.9,1.2,0.2,1.9,2.5,14.7
샘조세프 벨란겔,10,11.2,2.8,1.4,1.4,3.2,2.5,0.4,0,1.1,2.4,15.8
서명진,160,7.4,1.5,1.2,0.9,2,3.5,0.6,0.1,1.6,1.5,11.4
서민수,187,5.5,1.2,0.8,0.5,3,1.1,0.5,0.3,0.7,2.2,9.2
서정현,7,5.7,2.3,0.1,0.7,3.1,1.1,0,0.4,0.9,2.3,9.4
선상혁,5,2.6,1,0,0.6,2.2,0.2,0,0,1,0,4
송동훈,9,2.2,0.4,0.4,0,1,2.2,0.2,0.1,0.7,2.8,4.8
송창용,475,5.5,1,1,0.6,1.7,0.9,0.6,0.1,0.7,1.7,7.5
신동혁,12,2.8,1,0.3,0.1,0.5,0.5,0.3,0,0.4,1.3,3.4
신민석,53,3.2,0.6,0.5,0.4,1.5,0.4,0.5,0.1,0.5,0.9,4.7
신승민,59,3.7,0.9,0.4,0.7,2.2,1,0.4,0.1,0.8,2.3,6.2
안세영,0,0,0,0,0,0,0,0,0,0,0,0
안세영,0,0,0,0,0,0,0,0,0,0,0,0
양우섭,547,4,1.2,0.4,0.3,1.5,1.6,0.6,0.1,0.8,1.5,6.4
양우섭,547,4,1.2,0.4,0.3,1.5,1.6,0.6,0.1,0.8,1.5,6.4
양준우,33,1.7,0.2,0.3,0.2,0.7,1.1,0.3,0,0.6,1,2.9
양홍석,254,12.1,3.3,1.3,1.6,5.9,1.9,0.7,0.4,1.4,1.9,18.9
양희종,577,6.2,1.2,1,0.9,3.9,2.1,1,0.6,1.4,2.5,11.4
여준형,0,0,0,0,0,0,0,0,0,0,0,0
염유성,0,0,0,0,0,0,0,0,0,0,0,0
염재성,0,0,0,0,0,0,0,0,0,0,0,0
오세근,415,13.3,5.5,0.1,2,6.8,2.3,1,0.7,1.4,2,21.7
오재현,94,5,1.4,0.6,0.5,1.8,1.4,0.7,0.2,0.9,2.1,7.5
우동현,77,1.1,0.2,0.2,0.1,0.4,0.2,0.2,0,0.1,0.8,1.6
원종훈,38,1.1,0.3,0.2,0.1,0.9,1.2,0.5,0,0.4,2.1,2.8
유병훈,280,4.2,0.9,0.6,0.5,1.3,2.4,0.8,0.1,1,1.8,7
유병훈,280,4.2,0.9,0.6,0.5,1.3,2.4,0.8,0.1,1,1.8,7
윤성원,43,2.3,0.4,0.5,0,1.3,0.2,0.3,0,0.4,1,3.4
윤성준,2,1.5,0,0.5,0,0.5,0.5,0.5,0,0.5,1,2
윤원상,52,4.7,0.7,0.9,0.6,1,0.8,0.4,0,0.6,1.3,5.9
윤호영,512,7.8,2.4,0.7,0.8,4.4,2.2,0.9,0.9,1.3,2,14
이관희,433,9,2.3,1.1,1.3,2.6,1.7,1.1,0.2,1.1,1.6,12.4
이광진,30,3,0.4,0.7,0.2,0.9,0.3,0.4,0.1,0.5,1.4,3.8
이근휘,37,6.4,0.7,1.5,0.4,1.3,0.9,0.5,0,0.4,1.5,8.2
이대성,287,12.2,2.8,1.6,1.8,2.9,3.5,1.1,0.2,2.2,1.9,16.6
이대헌,199,8.3,3.1,0.4,1,3.2,1.3,0.7,0.1,1.1,2,11.8
이동엽,248,4,1,0.4,0.6,2.1,1.5,0.7,0.1,0.8,1.9,6.9
이동엽,248,4,1,0.4,0.6,2.1,1.5,0.7,0.1,0.8,1.9,6.9
이민석,1,3,0,1,0,1,0,0,0,0,1,4
이선 알바노,10,14.7,4.1,1.6,1.7,3.1,5.3,1.1,0.3,1.8,2.5,21.6
이승우,50,7.4,2.8,0.3,0.8,4.5,1.6,0.9,0.1,1.2,2.4,12.4
이승현,314,11.4,3.8,0.8,1.2,5.8,2.4,1,0.6,1.2,2,19
이승훈,0,0,0,0,0,0,0,0,0,0,0,0
이우석,77,10.7,3.4,0.9,1.2,4,2.8,0.8,0.2,1.6,1.8,16.1
이우정,79,1.8,0.5,0.2,0.3,0.8,0.8,0.4,0,0.7,1.1,2.7
이원대,266,3.4,0.6,0.6,0.3,1.1,1.4,0.4,0,0.6,1,5.3
이원석,64,8.7,3.3,0.2,1.6,4.4,0.5,0.7,0.8,1.1,2.9,13.3
이재도,376,10.4,2.6,1.1,1.7,3,4.3,1.3,0.1,1.6,1.7,16.2
이정제,150,1.8,0.8,0,0.2,1.5,0.3,0.3,0.1,0.3,1.6,3.4
이정현,63,10.7,2.7,1.2,1.7,2.4,2.9,1.2,0.2,1.2,2.3,15
이정현,540,13.1,2.7,1.7,2.6,2.9,3.6,1.3,0.2,2.2,2.5,17.6
이종현,163,6.9,2.8,0,1.2,4.5,1.5,0.7,1.1,1.2,1.4,12.8
이준희,67,5,1.7,0.4,0.3,1.6,1.6,0.5,0.1,0.9,1.5,7.4
이진석,3,1,0,0.3,0,0.7,0,0,0,0.3,0.7,1.4
이진욱,100,1.6,0.5,0.1,0.2,0.5,0.8,0.3,0,0.6,1.1,2.3
이현석,258,2.1,0.4,0.4,0.2,1.3,0.7,0.4,0,0.5,1.2,3.6
이호현,176,3.3,1.1,0.2,0.3,1,1.7,0.4,0,1,0.8,5
인승찬,0,0,0,0,0,0,0,0,0,0,0,0
임동섭,321,7.7,1.5,1.4,0.8,2.8,1.2,0.6,0.2,1.2,2.2,10.7
임종일,134,2.6,0.7,0.3,0.3,1.3,0.7,0.3,0.1,0.5,1.1,4.2
임준수,41,0.6,0.2,0.1,0,0.4,0.6,0,0,0.3,0.8,1.3
임현택,1,0,0,0,0,1,0,0,0,0,0,1
장문호,66,1.4,0.3,0.2,0.2,1,0.3,0.2,0.1,0.1,0.7,2.7
장민국,309,5.1,0.8,1,0.4,2.3,0.7,0.4,0.4,0.5,2,8
장재석,383,6.7,2.8,0,1.1,3.6,1.1,0.7,0.6,0.9,2.4,11.1
저스틴 구탕,2,1,0,0,1,0.5,1,0,0,1,0.5,1.5
전성현,330,8.7,1.1,1.9,0.8,1.5,0.8,0.5,0,0.6,1.1,10.4
전준범,319,6.8,0.9,1.5,0.5,2.3,1.1,0.5,0.2,0.8,1.7,9.6
전준우,0,0,0,0,0,0,0,0,0,0,0,0
전현우,171,6.4,0.9,1.4,0.5,1.9,0.5,0.5,0.1,0.3,1.6,8.6
전형준,51,2.4,0.3,0.5,0.3,0.6,0.6,0.3,0,0.4,2,3.2
정성우,239,4.9,1.2,0.7,0.5,1.3,2.4,0.8,0,0.9,1.8,7.7
정인덕,22,0.7,0.2,0.1,0,0.7,0.2,0.2,0,0.1,0.8,1.5
정종현,0,0,0,0,0,0,0,0,0,0,0,0
정준원,117,2.6,0.9,0.2,0.2,1,0.2,0.3,0.1,0.3,0.9,3.6
정창영,360,5.3,1.3,0.6,0.8,2.2,1.9,0.8,0.1,1,1.7,8.5
정해원,48,2.4,0.3,0.5,0.2,0.9,0.3,0.5,0,0.3,1.3,3.3
정호영,43,5.9,1.6,0.7,0.7,1.8,2,0.5,0.3,1.2,1.7,8.8
정효근,286,8.1,2.3,0.7,1.4,4.1,1.6,0.6,0.6,1.2,2.4,13.2
정희원,114,1.6,0.2,0.3,0.2,0.9,0.2,0.2,0,0.2,1.1,2.5
정희재,345,4.9,1,0.7,0.8,2.4,0.7,0.6,0.1,0.6,2.4,7.5
조상열,213,3.2,0.3,0.8,0.3,0.9,0.7,0.4,0,0.5,1.5,4.3
조석호,4,2.3,0.8,0.3,0,0.5,1,0,0,0.5,1,3.3
조석호,4,2.3,0.8,0.3,0,0.5,1,0,0,0.5,1,3.3
조우성,21,2.4,0.9,0,0.6,3,0.4,0.2,0,0.1,1.9,5.7
조은후,9,3.2,0.8,0.3,0.7,1,1.8,0.4,0.1,0.3,1,5.8
조재우,1,3,1,0,1,1,0,0,1,0,2,5
조한진,105,2.2,0.4,0.4,0.2,1,0.3,0.3,0.1,0.3,0.8,3.3
주현우,12,0.7,0.3,0,0,0.6,0,0.1,0,0,0.8,1.3
차민석,57,3.9,1.4,0.1,0.7,2.1,0.5,0.4,0.1,0.7,1.8,5.9
차바위,415,5.8,1.1,1,0.6,3.3,1.6,0.8,0.1,0.8,2.4,10
최부경,434,6.7,2.7,0,1.2,4.8,1.4,0.6,0.3,1,2.6,12.2
최성모,143,3.6,0.8,0.4,0.6,1.4,1.1,0.4,0.1,0.6,1.4,5.6
최승욱,292,3.1,1,0.2,0.3,1.4,0.8,0.4,0.2,0.5,1.2,5
최원혁,249,1.6,0.4,0.2,0.2,1.6,1.3,0.4,0.1,0.6,1.7,4
최주영,0,0,0,0,0,0,0,0,0,0,0,0
최준용,229,10.7,2.7,1.2,1.8,6.1,3.1,0.8,1.1,1.9,2.6,19.1
최진수,435,9.6,2.6,1,1.5,3.7,1.3,0.8,0.6,1.1,2.5,14.1
최창진,90,2.7,0.7,0.3,0.5,1.4,1.2,0.6,0,0.7,1.6,4.6
최현민,361,5,1.2,0.6,0.8,2.3,0.7,0.5,0.1,0.6,1.9,7.5
최현민,361,5,1.2,0.6,0.8,2.3,0.7,0.5,0.1,0.6,1.9,7.5
하윤기,60,8.1,3.4,0,1.4,5,0.5,0.6,0.7,0.9,1.6,13.4
한상혁,117,2.5,0.7,0.3,0.4,0.8,1.2,0.4,0,0.7,1,3.8
한승희,76,2.7,1,0.1,0.3,1.4,0.3,0.2,0,0.3,1.6,4.1
한호빈,310,5.8,1.2,0.9,0.8,1.7,2.8,0.6,0,1.3,1.7,9
한희원,194,3.5,0.8,0.5,0.4,1.8,0.5,0.4,0.2,0.4,1.4,5.6
함준후,278,2.4,0.7,0.3,0.2,1.3,0.5,0.3,0.1,0.3,1.3,4
함지훈,678,10.9,3.8,0.3,2.2,5.1,3.7,1,0.5,1.5,1.7,18.7
허웅,312,12,2.6,1.6,1.9,2.3,3,0.9,0.1,1.7,1.8,15.7
허일영,512,9.3,2.2,1.3,1,3.6,0.8,0.7,0.1,0.7,2.2,13.1
홍경기,129,3.3,0.6,0.6,0.4,0.7,0.5,0.3,0,0.5,1.1,4
